title,link,published,date,source
Why PepsiCo Stock Was Climbing Today - Nasdaq,https://news.google.com/rss/articles/CBMid0FVX3lxTFBRZDBtY1pRRy1zMXUwOVlQTXk4aEg1QkUzSTBEVEJnS2xqNzIwRVlFUlZHZWZGbjJISGxtaS1GV2hEMUhEQnJieVVnRHgxa1J0cFZoN3FFZ0FWTnlEXzk4dkZKUUtKLXIzak5TRWFoVzB3c3NXeFlv?oc=5,"Thu, 17 Jul 2025 18:02:00 GMT",2025-07-17 18:02:00,Google
PepsiCo earnings beat estimates even as U.S. demand falls - MSN,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOQWphT2FZOFNpVzl6b3loeHl5cXF6dVlwWktzV0JVd1lPMjZISll6TkF4dGQ5RFFxcG5MdmJFTUllOE9Uc3dXYmpPd3hvd3Y5UnI5eHZ0bi1jelJSY2ZKR3pVMzJIUEE2OS1wZG1INkVRR1FaMTA3cDZ3SGtuOFFJQ1h5Umxpd0ZBM2VNRnFBZFl4SVNIQjdyWUtSMEJnenlPdVN4LTV1akZJQQ?oc=5,"Thu, 17 Jul 2025 19:20:34 GMT",2025-07-17 19:20:34,Google
"PepsiCo Beats Q2 Earnings & Revenue Estimates, Improves 2025 EPS View - Zacks Investment Research",https://news.google.com/rss/articles/CBMiqwFBVV95cUxQcnNJOTd5OVFmRUhSMzA0ZFVCQnlhUlV0c05KekpvTm9zUWFlWF9OQmlhY04wU3pPTWhDYTRsN2NlNmRoTk4zR2MzeXBMZElYcng2REV0UUNETmxMREs0bDhPSDZUT0JkNHNTbXM4Qkk4UGJaWURHSHJjdE9hVUE1eUZRZFRQa2FPMV9fTFZnTURnVTNfMUNnVjZjWjU0RHZxTVpPVTNKS0pQbDg?oc=5,"Thu, 17 Jul 2025 16:50:29 GMT",2025-07-17 16:50:29,Google
PepsiCo earnings beat estimates even as U.S. demand falls - NBC Boston,https://news.google.com/rss/articles/CBMiugFBVV95cUxOOURwRW8wTmpKQmRLajhPT2pXS0E5S0dleFdpLXZ6YmJ1WXpwMXRteDdIWXZDdXhHM1VTLWYxVHh6NDlVZUNwY2tOcmtMeHFTblg0YzAySkpuWnVQdFBySG51QS1tYmw3ZE5FYm14RVNQR0U4MUVaeExSM1hJVGdJT0xNR01Uc1liR1M3VUowTXU5SWFOcmE4dEx5QmZCSXJaMmpXa0RyMU85RFB6UGEwQTFUc3loS21BSlHSAcIBQVVfeXFMTWhrR0JYZUl4a2s5U2R5MDNieVVQLUZLT2tkd1M4elJSRjlzeHJOdWxLejBLdEpoWXpZX1JuVkxUb1lIUlUxazJ3SkIyZkJJeHAtd1RqX3phX2dyVlhxUXpYMHJ0N01mZEVuaUU0MGwxazdJVHI0aXZhMktaMHIxNVg1QnJ3a3FZU05qTW1fTnRBc3NXbUUyNzJ2ZzRIc3JrWUVfa2VzOEpudFBYWkU4X19SS0owTWpKV1RXejhwWmtUZFE?oc=5,"Thu, 17 Jul 2025 10:08:57 GMT",2025-07-17 10:08:57,Google
PepsiCo Q2: Scoop Up This Dividend All-Star Now (NASDAQ:PEP) - Seeking Alpha,https://news.google.com/rss/articles/CBMikAFBVV95cUxOamYzNUhuQVF0bnBJTm1STERETXVTYWZKQ010YS1rQUROTlpHOGJ4aVRpc0g2NzROWnZKb2NiRzRMY1U1cmJJS1B0QmNRcXRzcmhtaEZvZHhYUEF5TnA5OGZZNlVuZ3Z4dUR2Z0tVd1lxc05VdkFEaHhKZDRMRFdxc1NIQ0Vid2EteWdTZUpicmM?oc=5,"Thu, 17 Jul 2025 21:29:00 GMT",2025-07-17 21:29:00,Google
PepsiCo still has 'a lot of wood to chop': Q2 was 'not good' - Yahoo Finance,https://news.google.com/rss/articles/CBMif0FVX3lxTE85Wl8wZDNsTldkVkpFOGoybzl2d0F3OXJGRlozRjV0dTEyckZRY1hwdmk3WFlhcEY1TURacHB3UGg5aExCSjVxdEpLbmd6QjFFRnJZWjEya0k3T0lUVzhVcUpDNjlJSHFWWDVqVTBtOV94bEFoNmlHcVRoa2JDN00?oc=5,"Thu, 17 Jul 2025 16:29:23 GMT",2025-07-17 16:29:23,Google
PepsiCo among S&P 500 leaders after Q2 results - MarketWatch,https://news.google.com/rss/articles/CBMiuwJBVV95cUxQQXR1TzdTMGZvSDZnVXpBNmlqSlRpLTRvRnczVnFQR0lsWGNGTHNXYTVSVjFLUERzMG5CanFwcWo2dGp6cWo3Rm1COThFS3gydGJDR2g3M192Y29hRk5kaTh1VWhnMV9ldjVyZmc4bU5Ua0xvOHJ3YnpIRlVFdUtwNEVZM3U3WDBGV09ZelFocVpYNkVfLUl6QkI2TmZsNWJzV19DcGlGVk51eGlrMjU3dlRMQTBGVURmWG5UZW5DTmtSbEtSQWlPcGJkaW12SFlJMHk2N251ZzE5bk1KRXRKY0laVUhZOXdNUkpyWjhQbUZoZkQzZF91aFM0SXQ4ZlVMRjRrRnA4OTdKSzRHRjFrbWZMbnN2U2dZd1RrUVR2Qlo0dlIwUG9jdWJfemZMZjdEb2wzb0hGS2g3U3c?oc=5,"Thu, 17 Jul 2025 16:22:33 GMT",2025-07-17 16:22:33,Google
PEP Earnings: PepsiCo Stock Pops on Q2 Beat Despite Soft US Demand - TipRanks,https://news.google.com/rss/articles/CBMimwFBVV95cUxQVUFKQTFoYlU1SjEwR05xYnhab3pCYV9WeUxKUkM2MDN5UTRxeVF4S2ZoMUFaM1R1aU1BR2dNbDVNd0Y4MGdXUVR3ZENOT2hBWHdDdWl1RTZ6NVBnR18xSEdKSDJTRUlvN0wwN05VZ0JQOTE1c3U1eTZCMEdwejVwdlJzWW9VUm84bjZXelZWZHd5TEVnNFVIMFA3RQ?oc=5,"Thu, 17 Jul 2025 11:56:19 GMT",2025-07-17 11:56:19,Google
"Lucid, TSMC, Elevance, Sarepta, PepsiCo, Abbott Labs, Archer Daniels, and More Movers - Barron's",https://news.google.com/rss/articles/CBMiZEFVX3lxTE0yRFZqMGRKS1EtTk1FckxBSHMwY2NYQTNwZTVIV3hVNnMwTDQ4SXk0bC1CMDB4TzgxOGhWQ3hiU29HaXM5dV81VTd3LVlVRk1veC1BZ0VMWjZDQ1dvWUlXeU53UXU?oc=5,"Thu, 17 Jul 2025 20:38:00 GMT",2025-07-17 20:38:00,Google
PepsiCo Surges to 23rd in Trading Volume with $3.771 Billion Turnover - AInvest,https://news.google.com/rss/articles/CBMilwFBVV95cUxQeGVXTTlPZG1sQWtxLTN0eFowanJGUDJYWHVJZDBBSnBzb0VxcEt0a3ZTdmU1bVVVWjNZYjN0NUprODFzX1IyMkhQRVJ3cTJHdkJkaWdYb0ctelluRDhrcm9wZUtUblRIb1k4aV8xQUJjVS1JdmxuUVIxeExaS3hDRk9mTkRyV2d1ak1SeFd1ZVJ4bnB2VDBR?oc=5,"Thu, 17 Jul 2025 23:15:04 GMT",2025-07-17 23:15:04,Google
